Path,Parent,Purpose class,Purpose statement,Location verdict,Evidence,Ref touch,Parent align,Wave,Section
scripts/notion_push_payloads/page_01_30db6f89.json,scripts/notion_push_payloads,Legacy/transitional,Frozen Notion page push payload snapshot (page_01_30db6f89.json),Suboptimal,ADR-026 git SoT; T13 archive wave for notion_push_payloads/,Low,Consistent,archive,scripts-src
scripts/notion_push_payloads/page_02_30db6f89.json,scripts/notion_push_payloads,Legacy/transitional,Frozen Notion page push payload snapshot (page_02_30db6f89.json),Suboptimal,ADR-026 git SoT; T13 archive wave for notion_push_payloads/,Low,Consistent,archive,scripts-src
scripts/notion_push_payloads/page_03_30db6f89.json,scripts/notion_push_payloads,Legacy/transitional,Frozen Notion page push payload snapshot (page_03_30db6f89.json),Suboptimal,ADR-026 git SoT; T13 archive wave for notion_push_payloads/,Low,Consistent,archive,scripts-src
scripts/notion_push_payloads/page_04_30db6f89.json,scripts/notion_push_payloads,Legacy/transitional,Frozen Notion page push payload snapshot (page_04_30db6f89.json),Suboptimal,ADR-026 git SoT; T13 archive wave for notion_push_payloads/,Low,Consistent,archive,scripts-src
scripts/notion_push_payloads/page_05_30db6f89.json,scripts/notion_push_payloads,Legacy/transitional,Frozen Notion page push payload snapshot (page_05_30db6f89.json),Suboptimal,ADR-026 git SoT; T13 archive wave for notion_push_payloads/,Low,Consistent,archive,scripts-src
scripts/notion_push_payloads/page_06_30db6f89.json,scripts/notion_push_payloads,Legacy/transitional,Frozen Notion page push payload snapshot (page_06_30db6f89.json),Suboptimal,ADR-026 git SoT; T13 archive wave for notion_push_payloads/,Low,Consistent,archive,scripts-src
scripts/notion_push_payloads/page_07_30db6f89.json,scripts/notion_push_payloads,Legacy/transitional,Frozen Notion page push payload snapshot (page_07_30db6f89.json),Suboptimal,ADR-026 git SoT; T13 archive wave for notion_push_payloads/,Low,Consistent,archive,scripts-src
scripts/notion_push_payloads/page_08_30db6f89.json,scripts/notion_push_payloads,Legacy/transitional,Frozen Notion page push payload snapshot (page_08_30db6f89.json),Suboptimal,ADR-026 git SoT; T13 archive wave for notion_push_payloads/,Low,Consistent,archive,scripts-src
scripts/notion_push_payloads/page_09_30db6f89.json,scripts/notion_push_payloads,Legacy/transitional,Frozen Notion page push payload snapshot (page_09_30db6f89.json),Suboptimal,ADR-026 git SoT; T13 archive wave for notion_push_payloads/,Low,Consistent,archive,scripts-src
scripts/push_313_pages.py,scripts,Legacy/transitional,Notion/KB migration utility (push_313_pages.py) superseded by git maintainer KB,Suboptimal,ADR-026; REPOSITORY-DIRECTORY-AUDIT.md scripts/notion_push_payloads row,Low,Tension,archive,scripts-src
scripts/push_313_remaining.py,scripts,Legacy/transitional,Notion/KB migration utility (push_313_remaining.py) superseded by git maintainer KB,Suboptimal,ADR-026; REPOSITORY-DIRECTORY-AUDIT.md scripts/notion_push_payloads row,Low,Tension,archive,scripts-src
scripts/push_all_kb_migration_mcp.py,scripts,Legacy/transitional,Notion/KB migration utility (push_all_kb_migration_mcp.py) superseded by git maintainer KB,Suboptimal,ADR-026; REPOSITORY-DIRECTORY-AUDIT.md scripts/notion_push_payloads row,Low,Tension,archive,scripts-src
scripts/push_kb_migration_batch.py,scripts,Legacy/transitional,Notion/KB migration utility (push_kb_migration_batch.py) superseded by git maintainer KB,Suboptimal,ADR-026; REPOSITORY-DIRECTORY-AUDIT.md scripts/notion_push_payloads row,Low,Tension,archive,scripts-src
scripts/push_notion_large_pages.py,scripts,Legacy/transitional,Notion/KB migration utility (push_notion_large_pages.py) superseded by git maintainer KB,Suboptimal,ADR-026; REPOSITORY-DIRECTORY-AUDIT.md scripts/notion_push_payloads row,Medium,Tension,archive,scripts-src
scripts/push_notion_stubs.py,scripts,Legacy/transitional,Notion/KB migration utility (push_notion_stubs.py) superseded by git maintainer KB,Suboptimal,ADR-026; REPOSITORY-DIRECTORY-AUDIT.md scripts/notion_push_payloads row,Low,Tension,archive,scripts-src
scripts/record_notion_import_results.py,scripts,Legacy/transitional,Notion/KB migration utility (record_notion_import_results.py) superseded by git maintainer KB,Suboptimal,ADR-026; REPOSITORY-DIRECTORY-AUDIT.md scripts/notion_push_payloads row,Low,Tension,archive,scripts-src
scripts/reverse_notion_migration_fr121.py,scripts,Legacy/transitional,FR-121 reverse Notion→git migration helper (ADR-026 git SoT),Acceptable,ADR-026; FR-121; transitional until migration closed,Medium,Consistent,archive,scripts-src
scripts/run_cli_pytest_coverage.sh,scripts,Operational,CLI pytest+coverage runner for maintainer CI/local parity,Optimal,E06:S08 CLI; .github/workflows references,High,Consistent,keep,scripts-src
scripts/run_kb_migration_mcp.py,scripts,Legacy/transitional,Notion/KB migration utility (run_kb_migration_mcp.py) superseded by git maintainer KB,Suboptimal,ADR-026; REPOSITORY-DIRECTORY-AUDIT.md scripts/notion_push_payloads row,Low,Tension,archive,scripts-src
scripts/split_mcp_batch.py,scripts,Legacy/transitional,Notion/KB migration utility (split_mcp_batch.py) superseded by git maintainer KB,Suboptimal,ADR-026; REPOSITORY-DIRECTORY-AUDIT.md scripts/notion_push_payloads row,Low,Tension,archive,scripts-src
scripts/sync_greenfield_install.py,scripts,Dev-kit specialisation,FR-110 greenfield-install mirror sync from packages/frameworks (CI --check),Optimal,FR-110; greenfield-install-manifest.yaml; .github/workflows,High,Tension,keep,scripts-src
scripts/test_greenfield_container.py,scripts,Dev-kit specialisation,Containerized greenfield install smoke harness,Acceptable,fr099_install_smoke_test.sh; FR-099,Medium,Consistent,keep,scripts-src
scripts/test_sync_greenfield_install.py,scripts,Dev-kit specialisation,Pytest coverage for greenfield sync script invariants,Optimal,sync_greenfield_install.py; FR-110 CI parity,High,Consistent,keep,scripts-src
scripts/validate-project-agent-manifest-paths.py,scripts,Dev-kit specialisation,ADR-012 manifest path existence validator (loadFirst/sourcePath),Optimal,docs/project-agent-manifest.json; AGENTS.md,High,Consistent,keep,scripts-src
src/ai_dev_kit/__init__.py,src/ai_dev_kit,Dev-kit specialisation,Package entry exposing VERSION_STRING for CLI/import consumers,Optimal,src/ai_dev_kit/version.py,Medium,Consistent,keep,scripts-src
src/ai_dev_kit/version.py,src/ai_dev_kit,Dev-kit specialisation,Canonical RW version SoT (RC.EPIC.STORY.TASK+BUILD),Optimal,rw-config.yaml version_file; dev-kit-versioning-policy.md,High,Consistent,keep,scripts-src
docs/maintenance/BUILD_AND_UPLOAD.md,docs/maintenance,Dev-kit specialisation,Framework package build/upload maintainer runbook,Optimal,docs/maintenance/README.md; packages/frameworks build scripts,Medium,Consistent,keep,docs
docs/maintenance/BUILD_PACKAGES.md,docs/maintenance,Dev-kit specialisation,Framework package build/upload maintainer runbook,Optimal,docs/maintenance/README.md; packages/frameworks build scripts,Medium,Consistent,keep,docs
docs/maintenance/BUILD_PACKAGES_COMMANDS.md,docs/maintenance,Dev-kit specialisation,Framework package build/upload maintainer runbook,Optimal,docs/maintenance/README.md; packages/frameworks build scripts,Medium,Consistent,keep,docs
docs/maintenance/README.md,docs/maintenance,Dev-kit specialisation,Maintainer runbook index and audit report pointers,Optimal,docs/maintenance/README.md index table; ADR-026 maintainer KB,Medium,Consistent,keep,docs
docs/maintenance/REPOSITORY-DIRECTORY-AUDIT.md,docs/maintenance,Dev-kit specialisation,T13/UXR-033 directory valuation matrix and wave plan (scope authority for T14),Optimal,E07:S01:T13 deliverable; UXR-033; FR-140 cartography leg,High,Consistent,keep,docs
docs/maintenance/REPOSITORY-FILE-AUDIT.md,docs/maintenance,Dev-kit specialisation,T14/UXR-034 per-file valuation matrix scaffold (governor merge target),Optimal,E07:S01:T14 deliverable; IPP-E07S01T14,High,Consistent,keep,docs
docs/maintenance/UPLOAD_PACKAGES.md,docs/maintenance,Dev-kit specialisation,Framework package build/upload maintainer runbook,Optimal,docs/maintenance/README.md; packages/frameworks build scripts,Medium,Consistent,keep,docs
docs/maintenance/book-repo-docs-scope.md,docs/maintenance,Dev-kit specialisation,Scope boundary doc for book-repo vs framework docs split,Optimal,FR-099 book migration program,Low,Consistent,keep,docs
docs/maintenance/br087-framework-release-republish-checklist.md,docs/maintenance,Dev-kit specialisation,Framework release republish checklist (BR-087),Optimal,BR-087 FBU,Low,Consistent,keep,docs
docs/maintenance/changelog-directory-consolidation-manifest.md,docs/maintenance,Dev-kit specialisation,Changelog path consolidation manifest (historical mover evidence),Acceptable,changelog-and-release-notes consolidation wave,Low,Consistent,keep,docs
docs/maintenance/coordinate-remediation-uxr018-e05s09t12.md,docs/maintenance,Dev-kit specialisation,Coordinate remediation evidence for UXR-018/E05:S09:T12,Optimal,UXR-018; portal coordinate fixes,Low,Consistent,keep,docs
docs/maintenance/docusaurus-ci-dedup-verification-evidence-E05S09T14-wave2.md,docs/maintenance,Dev-kit specialisation,Docusaurus CI/corpus triage verification evidence,Optimal,BR-068/FR-067; E05:S09 program,Low,Consistent,keep,docs
docs/maintenance/docusaurus-corpus-triage-fr-067.md,docs/maintenance,Dev-kit specialisation,Docusaurus CI/corpus triage verification evidence,Optimal,BR-068/FR-067; E05:S09 program,Low,Consistent,keep,docs
docs/maintenance/fr099-phase3-public-repo-bootstrap.md,docs/maintenance,Dev-kit specialisation,FR-099 phase 3 public repo bootstrap verification notes,Optimal,IPP-E1S04; book private/public migration,Low,Consistent,keep,docs
docs/maintenance/fr099-phase4-rewire-and-verify.md,docs/maintenance,Dev-kit specialisation,FR-099 phase 4 rewire and verify checklist,Optimal,IPP-E1S04 follow-on,Low,Consistent,keep,docs
docs/maintenance/logs/mmw/MMW-2026-03-16.md,docs/maintenance/logs/mmw,Operational,Forensic evidence log for RW/UKW/MM W verification,Optimal,ADR-008 journals pattern; point-in-time audit evidence,Low,Consistent,keep,docs
docs/maintenance/logs/rw-stamp-evidence-v0.2.15.1+2.json,docs/maintenance/logs,Operational,Forensic evidence log for RW/UKW/MM W verification,Optimal,ADR-008 journals pattern; point-in-time audit evidence,Low,Consistent,keep,docs
docs/maintenance/logs/uxr-005-spacing-20260601.md,docs/maintenance/logs,Operational,Forensic evidence log for RW/UKW/MM W verification,Optimal,ADR-008 journals pattern; point-in-time audit evidence,Low,Consistent,keep,docs
docs/maintenance/release-checklist-templates.md,docs/maintenance,Dev-kit specialisation,Release automation template or integration guide,Optimal,release-runbook.md cross-links,Low,Consistent,keep,docs
docs/maintenance/release-configuration-examples.md,docs/maintenance,Dev-kit specialisation,Release automation template or integration guide,Optimal,release-runbook.md cross-links,Low,Consistent,keep,docs
docs/maintenance/release-integration-guides.md,docs/maintenance,Dev-kit specialisation,Release automation template or integration guide,Optimal,release-runbook.md cross-links,Low,Consistent,keep,docs
docs/maintenance/release-quick-reference.md,docs/maintenance,Dev-kit specialisation,Release automation template or integration guide,Optimal,release-runbook.md cross-links,Low,Consistent,keep,docs
docs/maintenance/release-runbook.md,docs/maintenance,Dev-kit specialisation,Comprehensive RW/release procedures for maintainers,Optimal,README index; workflow-mgt release docs cross-ref,Medium,Consistent,keep,docs
docs/maintenance/saa-operator-verification-e03s02t14.md,docs/maintenance,Dev-kit specialisation,SAA allocator operator verification runbook,Optimal,FR-122; validate_allocator_health.py,Medium,Consistent,keep,docs
docs/maintenance/semver-registry-collision-repair-2026-06-04.md,docs/maintenance,Dev-kit specialisation,Semver registry collision repair manifest or verification evidence,Optimal,FR-045/task_touch; E03:S02:T12 wave evidence,Low,Consistent,keep,docs
docs/maintenance/semver-registry-collision-repair-manifest-2026-06-05-e04-wave.yaml,docs/maintenance,Dev-kit specialisation,Semver registry collision repair manifest or verification evidence,Optimal,FR-045/task_touch; E03:S02:T12 wave evidence,Low,Consistent,keep,docs
docs/maintenance/semver-registry-collision-repair-manifest-2026-06-06-e08-e10-wave.yaml,docs/maintenance,Dev-kit specialisation,Semver registry collision repair manifest or verification evidence,Optimal,FR-045/task_touch; E03:S02:T12 wave evidence,Low,Consistent,keep,docs
docs/maintenance/semver-registry-collision-repair-manifest.yaml,docs/maintenance,Dev-kit specialisation,Semver registry collision repair manifest or verification evidence,Optimal,FR-045/task_touch; E03:S02:T12 wave evidence,Low,Consistent,keep,docs
docs/maintenance/semver-verification-evidence-E03S02T12-wave3.md,docs/maintenance,Dev-kit specialisation,Semver registry collision repair manifest or verification evidence,Optimal,FR-045/task_touch; E03:S02:T12 wave evidence,Low,Consistent,keep,docs
docs/maintenance/v-band-verification-scan-2026-06-05.md,docs/maintenance,Dev-kit specialisation,V-band kanban verification scan evidence,Optimal,ADR-018 V-band; UKW hygiene,Low,Consistent,keep,docs
docs/implementation-cycles/ARCHIVE-AGENT-001-E24S02T01-03-RESOLUTION.md,docs/implementation-cycles,Dev-kit specialisation,Implementation-cycle planning artifact (IPP/ICW durable output),Optimal,specification-and-planning-artifacts-policy.md,Medium,Consistent,keep,docs
docs/implementation-cycles/DOC-AGENT-001-E24S01T01-04-RESOLUTION.md,docs/implementation-cycles,Dev-kit specialisation,Agent coordination setup doc for ICW/PM workflows,Optimal,ICW agent bootstrap notes,Low,Consistent,keep,docs
docs/implementation-cycles/DOC-AGENT-001-E5S03T01-03-RESOLUTION.md,docs/implementation-cycles,Dev-kit specialisation,Agent coordination setup doc for ICW/PM workflows,Optimal,ICW agent bootstrap notes,Low,Consistent,keep,docs
docs/implementation-cycles/E10S01-orchestration-plan.md,docs/implementation-cycles,Dev-kit specialisation,Implementation-cycle planning artifact (IPP/ICW durable output),Optimal,specification-and-planning-artifacts-policy.md,High,Consistent,keep,docs
docs/implementation-cycles/E4S19T03-e6s07-default-housing-investigation-report.md,docs/implementation-cycles,Dev-kit specialisation,Implementation-cycle planning artifact (IPP/ICW durable output),Optimal,specification-and-planning-artifacts-policy.md,High,Consistent,keep,docs
docs/implementation-cycles/E6S07T104-release-automation-audit-report.md,docs/implementation-cycles,Dev-kit specialisation,Implementation-cycle planning artifact (IPP/ICW durable output),Optimal,specification-and-planning-artifacts-policy.md,Medium,Consistent,keep,docs
docs/implementation-cycles/E6S07T104-remediation-implementation.md,docs/implementation-cycles,Dev-kit specialisation,Implementation-cycle planning artifact (IPP/ICW durable output),Optimal,specification-and-planning-artifacts-policy.md,Medium,Consistent,keep,docs
docs/implementation-cycles/HANDOVER-2026-04-25-ukw-rw-e2s16t04.md,docs/implementation-cycles,Dev-kit specialisation,Implementation-cycle planning artifact (IPP/ICW durable output),Optimal,specification-and-planning-artifacts-policy.md,Medium,Consistent,keep,docs
docs/implementation-cycles/ICW-20260309-171302-implementation-plan.md,docs/implementation-cycles,Dev-kit specialisation,ICW trio implementation plan (legacy or parallel to IPP where not consolidated),Optimal,dev-kit-ipw-ipp-vs-icw-artifacts.md matrix,Low,Consistent,keep,docs
docs/implementation-cycles/ICW-20260309-171302-package-summary.md,docs/implementation-cycles,Dev-kit specialisation,ICW trio ICW planning artifact (legacy or parallel to IPP where not consolidated),Optimal,dev-kit-ipw-ipp-vs-icw-artifacts.md matrix,Low,Consistent,keep,docs
docs/implementation-cycles/ICW-20260309-171302-specification.md,docs/implementation-cycles,Dev-kit specialisation,ICW trio specification (legacy or parallel to IPP where not consolidated),Optimal,dev-kit-ipw-ipp-vs-icw-artifacts.md matrix,Low,Consistent,keep,docs
docs/implementation-cycles/ICW-20260309-171302-state.json,docs/implementation-cycles,Operational,ICW trio ICW session state snapshot (legacy or parallel to IPP where not consolidated),Optimal,dev-kit-ipw-ipp-vs-icw-artifacts.md matrix,Low,Consistent,keep,docs
docs/implementation-cycles/ICW-20260309-171302-test-design.md,docs/implementation-cycles,Dev-kit specialisation,ICW trio test design (legacy or parallel to IPP where not consolidated),Optimal,dev-kit-ipw-ipp-vs-icw-artifacts.md matrix,Low,Consistent,keep,docs
docs/implementation-cycles/ICW-20260309-172358-state.json,docs/implementation-cycles,Operational,ICW trio ICW session state snapshot (legacy or parallel to IPP where not consolidated),Optimal,dev-kit-ipw-ipp-vs-icw-artifacts.md matrix,Low,Consistent,keep,docs
docs/implementation-cycles/ICW-20260309-173057-state.json,docs/implementation-cycles,Operational,ICW trio ICW session state snapshot (legacy or parallel to IPP where not consolidated),Optimal,dev-kit-ipw-ipp-vs-icw-artifacts.md matrix,Low,Consistent,keep,docs
docs/implementation-cycles/ICW-AGENT-001-E5S01T31-RESOLUTION.md,docs/implementation-cycles,Dev-kit specialisation,ICW trio ICW planning artifact (legacy or parallel to IPP where not consolidated),Optimal,dev-kit-ipw-ipp-vs-icw-artifacts.md matrix,Low,Consistent,keep,docs
docs/implementation-cycles/ICW-AGENT-001-E8S03T01-03-RESOLUTION.md,docs/implementation-cycles,Dev-kit specialisation,ICW trio ICW planning artifact (legacy or parallel to IPP where not consolidated),Optimal,dev-kit-ipw-ipp-vs-icw-artifacts.md matrix,Low,Consistent,keep,docs
docs/implementation-cycles/ICW-ALL-TASKS-test-design.md,docs/implementation-cycles,Dev-kit specialisation,ICW trio test design (legacy or parallel to IPP where not consolidated),Optimal,dev-kit-ipw-ipp-vs-icw-artifacts.md matrix,Low,Consistent,keep,docs
docs/implementation-cycles/ICW-COULD-HAVE-EXECUTION-SUMMARY.md,docs/implementation-cycles,Dev-kit specialisation,ICW trio ICW planning artifact (legacy or parallel to IPP where not consolidated),Optimal,dev-kit-ipw-ipp-vs-icw-artifacts.md matrix,Low,Consistent,keep,docs
docs/implementation-cycles/ICW-COULD-HAVE-SETUP.md,docs/implementation-cycles,Dev-kit specialisation,ICW trio ICW planning artifact (legacy or parallel to IPP where not consolidated),Optimal,dev-kit-ipw-ipp-vs-icw-artifacts.md matrix,Low,Consistent,keep,docs
docs/implementation-cycles/ICW-E10S01T01-specification.md,docs/implementation-cycles,Dev-kit specialisation,ICW trio specification (legacy or parallel to IPP where not consolidated),Optimal,dev-kit-ipw-ipp-vs-icw-artifacts.md matrix,Low,Consistent,keep,docs
docs/implementation-cycles/ICW-E11S01T01-specification.md,docs/implementation-cycles,Dev-kit specialisation,ICW trio specification (legacy or parallel to IPP where not consolidated),Optimal,dev-kit-ipw-ipp-vs-icw-artifacts.md matrix,Low,Consistent,keep,docs
docs/implementation-cycles/ICW-E1S06T01-specification.md,docs/implementation-cycles,Dev-kit specialisation,ICW trio specification (legacy or parallel to IPP where not consolidated),Optimal,dev-kit-ipw-ipp-vs-icw-artifacts.md matrix,Low,Consistent,keep,docs
docs/implementation-cycles/ICW-E2S01T12-implementation-plan.md,docs/implementation-cycles,Dev-kit specialisation,ICW trio implementation plan (legacy or parallel to IPP where not consolidated),Optimal,dev-kit-ipw-ipp-vs-icw-artifacts.md matrix,Low,Consistent,keep,docs
docs/implementation-cycles/ICW-E2S01T12-specification.md,docs/implementation-cycles,Dev-kit specialisation,ICW trio specification (legacy or parallel to IPP where not consolidated),Optimal,dev-kit-ipw-ipp-vs-icw-artifacts.md matrix,Low,Consistent,keep,docs
docs/implementation-cycles/ICW-E2S01T12-test-design.md,docs/implementation-cycles,Dev-kit specialisation,ICW trio test design (legacy or parallel to IPP where not consolidated),Optimal,dev-kit-ipw-ipp-vs-icw-artifacts.md matrix,Low,Consistent,keep,docs
docs/implementation-cycles/ICW-E2S01T14-implementation-plan.md,docs/implementation-cycles,Dev-kit specialisation,ICW trio implementation plan (legacy or parallel to IPP where not consolidated),Optimal,dev-kit-ipw-ipp-vs-icw-artifacts.md matrix,Low,Consistent,keep,docs
docs/implementation-cycles/ICW-E2S01T14-specification.md,docs/implementation-cycles,Dev-kit specialisation,ICW trio specification (legacy or parallel to IPP where not consolidated),Optimal,dev-kit-ipw-ipp-vs-icw-artifacts.md matrix,Low,Consistent,keep,docs
docs/implementation-cycles/ICW-E2S01T14-test-design.md,docs/implementation-cycles,Dev-kit specialisation,ICW trio test design (legacy or parallel to IPP where not consolidated),Optimal,dev-kit-ipw-ipp-vs-icw-artifacts.md matrix,Low,Consistent,keep,docs
docs/implementation-cycles/ICW-E2S01T15-implementation-plan.md,docs/implementation-cycles,Dev-kit specialisation,ICW trio implementation plan (legacy or parallel to IPP where not consolidated),Optimal,dev-kit-ipw-ipp-vs-icw-artifacts.md matrix,Low,Consistent,keep,docs
docs/implementation-cycles/ICW-E2S01T15-specification.md,docs/implementation-cycles,Dev-kit specialisation,ICW trio specification (legacy or parallel to IPP where not consolidated),Optimal,dev-kit-ipw-ipp-vs-icw-artifacts.md matrix,Low,Consistent,keep,docs
docs/implementation-cycles/ICW-E2S01T15-test-design.md,docs/implementation-cycles,Dev-kit specialisation,ICW trio test design (legacy or parallel to IPP where not consolidated),Optimal,dev-kit-ipw-ipp-vs-icw-artifacts.md matrix,Low,Consistent,keep,docs
docs/implementation-cycles/ICW-E2S01T17-implementation-plan.md,docs/implementation-cycles,Dev-kit specialisation,ICW trio implementation plan (legacy or parallel to IPP where not consolidated),Optimal,dev-kit-ipw-ipp-vs-icw-artifacts.md matrix,Low,Consistent,keep,docs
docs/implementation-cycles/ICW-E2S01T17-specification.md,docs/implementation-cycles,Dev-kit specialisation,ICW trio specification (legacy or parallel to IPP where not consolidated),Optimal,dev-kit-ipw-ipp-vs-icw-artifacts.md matrix,Low,Consistent,keep,docs
docs/implementation-cycles/ICW-E2S01T17-test-design.md,docs/implementation-cycles,Dev-kit specialisation,ICW trio test design (legacy or parallel to IPP where not consolidated),Optimal,dev-kit-ipw-ipp-vs-icw-artifacts.md matrix,Low,Consistent,keep,docs
docs/implementation-cycles/ICW-E2S15T01-implementation-plan.md,docs/implementation-cycles,Dev-kit specialisation,ICW trio implementation plan (legacy or parallel to IPP where not consolidated),Optimal,dev-kit-ipw-ipp-vs-icw-artifacts.md matrix,Low,Consistent,keep,docs
docs/implementation-cycles/ICW-E2S15T01-specification.md,docs/implementation-cycles,Dev-kit specialisation,ICW trio specification (legacy or parallel to IPP where not consolidated),Optimal,dev-kit-ipw-ipp-vs-icw-artifacts.md matrix,Low,Consistent,keep,docs
docs/implementation-cycles/ICW-E2S15T01-test-design.md,docs/implementation-cycles,Dev-kit specialisation,ICW trio test design (legacy or parallel to IPP where not consolidated),Optimal,dev-kit-ipw-ipp-vs-icw-artifacts.md matrix,Low,Consistent,keep,docs
docs/implementation-cycles/ICW-E2S15T05-implementation-plan.md,docs/implementation-cycles,Dev-kit specialisation,ICW trio implementation plan (legacy or parallel to IPP where not consolidated),Optimal,dev-kit-ipw-ipp-vs-icw-artifacts.md matrix,Low,Consistent,keep,docs
docs/implementation-cycles/ICW-E2S15T05-specification.md,docs/implementation-cycles,Dev-kit specialisation,ICW trio specification (legacy or parallel to IPP where not consolidated),Optimal,dev-kit-ipw-ipp-vs-icw-artifacts.md matrix,Low,Consistent,keep,docs
docs/implementation-cycles/ICW-E2S15T05-test-design.md,docs/implementation-cycles,Dev-kit specialisation,ICW trio test design (legacy or parallel to IPP where not consolidated),Optimal,dev-kit-ipw-ipp-vs-icw-artifacts.md matrix,Low,Consistent,keep,docs
docs/implementation-cycles/ICW-E4S08T07-implementation-plan.md,docs/implementation-cycles,Dev-kit specialisation,ICW trio implementation plan (legacy or parallel to IPP where not consolidated),Optimal,dev-kit-ipw-ipp-vs-icw-artifacts.md matrix,Low,Consistent,keep,docs
docs/implementation-cycles/ICW-E4S08T07-specification.md,docs/implementation-cycles,Dev-kit specialisation,ICW trio specification (legacy or parallel to IPP where not consolidated),Optimal,dev-kit-ipw-ipp-vs-icw-artifacts.md matrix,Low,Consistent,keep,docs
docs/implementation-cycles/ICW-E4S08T07-test-design.md,docs/implementation-cycles,Dev-kit specialisation,ICW trio test design (legacy or parallel to IPP where not consolidated),Optimal,dev-kit-ipw-ipp-vs-icw-artifacts.md matrix,Low,Consistent,keep,docs
docs/implementation-cycles/ICW-E4S11T07-specification.md,docs/implementation-cycles,Dev-kit specialisation,ICW trio specification (legacy or parallel to IPP where not consolidated),Optimal,dev-kit-ipw-ipp-vs-icw-artifacts.md matrix,Low,Consistent,keep,docs
docs/implementation-cycles/ICW-E4S19T05-implementation-plan.md,docs/implementation-cycles,Dev-kit specialisation,ICW trio implementation plan (legacy or parallel to IPP where not consolidated),Optimal,dev-kit-ipw-ipp-vs-icw-artifacts.md matrix,Low,Consistent,keep,docs
docs/implementation-cycles/ICW-E4S19T05-specification.md,docs/implementation-cycles,Dev-kit specialisation,ICW trio specification (legacy or parallel to IPP where not consolidated),Optimal,dev-kit-ipw-ipp-vs-icw-artifacts.md matrix,Low,Consistent,keep,docs
docs/implementation-cycles/ICW-E4S19T05-test-design.md,docs/implementation-cycles,Dev-kit specialisation,ICW trio test design (legacy or parallel to IPP where not consolidated),Optimal,dev-kit-ipw-ipp-vs-icw-artifacts.md matrix,Low,Consistent,keep,docs
docs/implementation-cycles/ICW-E5S01T35-implementation-plan.md,docs/implementation-cycles,Dev-kit specialisation,ICW trio implementation plan (legacy or parallel to IPP where not consolidated),Optimal,dev-kit-ipw-ipp-vs-icw-artifacts.md matrix,Low,Consistent,keep,docs
docs/implementation-cycles/ICW-E5S01T35-package-summary.md,docs/implementation-cycles,Dev-kit specialisation,ICW trio ICW planning artifact (legacy or parallel to IPP where not consolidated),Optimal,dev-kit-ipw-ipp-vs-icw-artifacts.md matrix,Low,Consistent,keep,docs
docs/implementation-cycles/ICW-E5S01T35-specification.md,docs/implementation-cycles,Dev-kit specialisation,ICW trio specification (legacy or parallel to IPP where not consolidated),Optimal,dev-kit-ipw-ipp-vs-icw-artifacts.md matrix,Low,Consistent,keep,docs
docs/implementation-cycles/ICW-E5S01T35-test-design.md,docs/implementation-cycles,Dev-kit specialisation,ICW trio test design (legacy or parallel to IPP where not consolidated),Optimal,dev-kit-ipw-ipp-vs-icw-artifacts.md matrix,Low,Consistent,keep,docs
docs/implementation-cycles/ICW-E5S01T46-specification.md,docs/implementation-cycles,Dev-kit specialisation,ICW trio specification (legacy or parallel to IPP where not consolidated),Optimal,dev-kit-ipw-ipp-vs-icw-artifacts.md matrix,Low,Consistent,keep,docs
docs/implementation-cycles/ICW-E5S01T46-test-design.md,docs/implementation-cycles,Dev-kit specialisation,ICW trio test design (legacy or parallel to IPP where not consolidated),Optimal,dev-kit-ipw-ipp-vs-icw-artifacts.md matrix,Low,Consistent,keep,docs
docs/implementation-cycles/ICW-E6S07T106-specification.md,docs/implementation-cycles,Dev-kit specialisation,ICW trio specification (legacy or parallel to IPP where not consolidated),Optimal,dev-kit-ipw-ipp-vs-icw-artifacts.md matrix,Low,Consistent,keep,docs
docs/implementation-cycles/ICW-E6S07T111-implementation-plan.md,docs/implementation-cycles,Dev-kit specialisation,ICW trio implementation plan (legacy or parallel to IPP where not consolidated),Optimal,dev-kit-ipw-ipp-vs-icw-artifacts.md matrix,Low,Consistent,keep,docs
docs/implementation-cycles/ICW-E6S07T111-specification.md,docs/implementation-cycles,Dev-kit specialisation,ICW trio specification (legacy or parallel to IPP where not consolidated),Optimal,dev-kit-ipw-ipp-vs-icw-artifacts.md matrix,Low,Consistent,keep,docs
docs/implementation-cycles/ICW-E6S07T111-test-design.md,docs/implementation-cycles,Dev-kit specialisation,ICW trio test design (legacy or parallel to IPP where not consolidated),Optimal,dev-kit-ipw-ipp-vs-icw-artifacts.md matrix,Low,Consistent,keep,docs
docs/implementation-cycles/ICW-E6S07T114-implementation-plan.md,docs/implementation-cycles,Dev-kit specialisation,ICW trio implementation plan (legacy or parallel to IPP where not consolidated),Optimal,dev-kit-ipw-ipp-vs-icw-artifacts.md matrix,Low,Consistent,keep,docs
docs/implementation-cycles/ICW-E6S07T114-specification.md,docs/implementation-cycles,Dev-kit specialisation,ICW trio specification (legacy or parallel to IPP where not consolidated),Optimal,dev-kit-ipw-ipp-vs-icw-artifacts.md matrix,Low,Consistent,keep,docs
docs/implementation-cycles/ICW-E6S07T114-test-design.md,docs/implementation-cycles,Dev-kit specialisation,ICW trio test design (legacy or parallel to IPP where not consolidated),Optimal,dev-kit-ipw-ipp-vs-icw-artifacts.md matrix,Low,Consistent,keep,docs
